3cpio	0.14.0-1ubuntu1
libblkid1:amd64	2.41.3-3ubuntu2
libblockdev-crypto3:amd64	3.4.0-1
libblockdev-fs3:amd64	3.4.0-1
libblockdev-loop3:amd64	3.4.0-1
libblockdev-mdraid3:amd64	3.4.0-1
libblockdev-nvme3:amd64	3.4.0-1
libblockdev-part3:amd64	3.4.0-1
libblockdev-smart3:amd64	3.4.0-1
libblockdev-swap3:amd64	3.4.0-1
libblockdev-utils3:amd64	3.4.0-1
libblockdev3:amd64	3.4.0-1
libblosc1:amd64	1.21.5+ds-2
libbluetooth3:amd64	5.85-4
libbluray3:amd64	1:1.4.1-1
libboost-filesystem1.90.0:amd64	1.90.0-6ubuntu1
libboost-iostreams1.90.0:amd64	1.90.0-6ubuntu1
libboost-locale1.90.0:amd64	1.90.0-6ubuntu1
libboost-program-options1.90.0:amd64	1.90.0-6ubuntu1
libboost-thread1.90.0:amd64	1.90.0-6ubuntu1
